Date,target_tb,proba_ebm,signal_ebm,proba_lgbm,signal_lgbm,proba_student,signal_student
2020-01-02,1,0.46153846153846156,1,0.6663967901012442,1,0.8091292923550494,1
2020-01-03,1,0.23076923076923078,0,0.5558336787438951,1,0.5642988045160615,1
2020-01-06,1,0.5690140845070423,1,0.49091727443582345,1,0.8433451118963488,1
2020-01-07,1,0.46153846153846156,1,0.488439571794318,1,0.42018779342722773,1
2020-01-08,1,0.46153846153846156,1,0.4963975060039371,1,0.42018779342722773,1
2020-01-09,1,0.20245398773006135,0,0.5154104243043482,1,0.42018779342722773,1
2020-01-10,1,0.06435643564356436,0,0.25787382383248203,0,0.0311802245482905,0
2020-01-13,1,0.23076923076923078,0,0.3646813767800015,1,0.42018779342722773,1
2020-01-14,1,0.0375,0,0.18215919039286405,0,0.0311802245482905,0
2020-01-15,1,0.06435643564356436,0,0.22625612421944208,0,0.0311802245482905,0
2020-01-16,0,0.06435643564356436,0,0.2299901697187875,0,0.0311802245482905,0
2020-01-17,0,0.13333333333333333,0,0.29125935463568375,0,0.0311802245482905,0
2020-01-21,0,0.13333333333333333,0,0.3320209511184267,1,0.5642988045160615,1
2020-01-22,0,0.23076923076923078,0,0.5131918933956917,1,0.9774275193884252,1
2020-01-23,0,0.24870466321243523,0,0.3650336872709283,1,0.42018779342722773,1
2020-01-24,0,0.23076923076923078,0,0.3289828096683401,1,0.42018779342722773,1
2020-01-27,1,0.20245398773006135,0,0.4873243967304896,1,0.8433451118963488,1
2020-01-28,0,0.2857142857142857,0,0.6492345740347941,1,0.9954319761668323,1
2020-01-29,0,0.23076923076923078,0,0.5830102538963631,1,0.857298356373136,1
2020-01-30,0,0.23076923076923078,0,0.6012532647606729,1,0.9954319761668323,1
2020-01-31,1,0.1576923076923077,0,0.5782017010528576,1,0.8433451118963488,1
2020-02-03,1,0.5690140845070423,1,0.6174217519670278,1,0.9954319761668323,1
2020-02-04,1,0.1576923076923077,0,0.5059932951468304,1,0.22081676617432636,0
2020-02-05,0,0.0,0,0.18647314777525037,0,0.22081676617432636,0
2020-02-06,0,0.0,0,0.1868415021519699,0,0.22081676617432636,0
2020-02-07,1,0.0,0,0.17119611423057837,0,0.0311802245482905,0
2020-02-10,0,0.0,0,0.23372842003617894,0,0.22081676617432636,0
2020-02-11,0,0.0,0,0.199738662565811,0,0.22081676617432636,0
2020-02-12,0,0.0,0,0.21271629719789534,0,0.22081676617432636,0
2020-02-13,0,0.0,0,0.16294664543822757,0,0.0311802245482905,0
2020-02-14,0,0.0,0,0.23832505144575775,0,0.22081676617432636,0
2020-02-18,0,0.0,0,0.2619633127798368,0,0.22081676617432636,0
2020-02-19,0,0.06435643564356436,0,0.3475867782290119,1,0.42018779342722773,1
2020-02-20,0,0.20245398773006135,0,0.3778390198708292,1,0.42018779342722773,1
2020-02-21,0,0.13333333333333333,0,0.3964491356811766,1,0.8433451118963488,1
2020-02-24,0,0.1576923076923077,0,0.43019427478684,1,0.9954319761668323,1
2020-02-25,0,0.46153846153846156,1,0.5165343713381804,1,0.9954319761668323,1
2020-02-26,0,0.2857142857142857,0,0.49902516763628574,1,0.9954319761668323,1
2020-02-27,1,0.23076923076923078,0,0.4292055320538139,1,0.9954319761668323,1
2020-02-28,1,0.06666666666666667,0,0.45603585173728045,1,0.9954319761668323,1
2020-03-02,0,0.06435643564356436,0,0.45182313462359247,1,0.9582257910333619,1
2020-03-03,0,0.0,0,0.3915886068135797,1,0.857298356373136,1
2020-03-04,0,0.06435643564356436,0,0.4701633409461427,1,0.9954319761668323,1
2020-03-05,0,0.0,0,0.2929296711965657,0,0.22081676617432636,0
2020-03-06,0,0.0375,0,0.34690207219917274,1,0.22081676617432636,0
2020-03-09,0,0.1576923076923077,0,0.3222322631024314,1,0.22081676617432636,0
2020-03-10,0,0.13333333333333333,0,0.529280512288067,1,0.9582257910333619,1
2020-03-11,0,0.06435643564356436,0,0.48433004604332414,1,0.9582257910333619,1
2020-03-12,1,0.06435643564356436,0,0.5406388775744161,1,0.9582257910333619,1
2020-03-13,0,0.06666666666666667,0,0.5274960592891079,1,0.9582257910333619,1
2020-03-16,0,0.0375,0,0.4784123705399681,1,0.9582257910333619,1
2020-03-17,0,0.3684210526315789,1,0.5274960592891079,1,0.9582257910333619,1
2020-03-18,0,0.20245398773006135,0,0.4789760188390016,1,0.9582257910333619,1
2020-03-19,0,0.5690140845070423,1,0.5301180020286295,1,0.9582257910333619,1
2020-03-20,1,0.5690140845070423,1,0.5291492938358018,1,0.9582257910333619,1
2020-03-23,1,0.75,1,0.5431084016979215,1,0.9582257910333619,1
2020-03-24,0,0.8313253012048193,1,0.5401502522193077,1,0.9582257910333619,1
2020-03-25,0,0.20245398773006135,0,0.47056367701787005,1,0.9582257910333619,1
2020-03-26,0,0.3684210526315789,1,0.38833797368555945,1,0.22081676617432636,0
2020-03-27,0,0.13333333333333333,0,0.3312339403660018,1,0.22081676617432636,0
2020-03-30,0,0.6923076923076923,1,0.3828542577599814,1,0.22081676617432636,0
2020-03-31,0,0.3684210526315789,1,0.33299976389671976,1,0.22081676617432636,0
2020-04-01,1,0.3684210526315789,1,0.386088926869854,1,0.22081676617432636,0
2020-04-02,1,0.6395348837209304,1,0.43562910264075083,1,0.9582257910333619,1
2020-04-03,1,0.34615384615384615,1,0.5159848189416358,1,0.9582257910333619,1
2020-04-06,0,0.46153846153846156,1,0.5181233473591087,1,0.9582257910333619,1
2020-04-07,0,0.06666666666666667,0,0.24294214859348212,0,0.22081676617432636,0
2020-04-08,0,0.24870466321243523,0,0.3425521495542851,1,0.22081676617432636,0
2020-04-09,0,0.23076923076923078,0,0.18357162116783335,0,0.14114611023829002,0
2020-04-13,0,0.3684210526315789,1,0.24504369235195958,0,0.14114611023829002,0
2020-04-14,0,0.3684210526315789,1,0.3628576130139801,1,0.22081676617432636,0
2020-04-15,0,0.0375,0,0.19281526242322228,0,0.14114611023829002,0
2020-04-16,0,0.20245398773006135,0,0.3620811517239276,1,0.22081676617432636,0
2020-04-17,0,0.20245398773006135,0,0.35830407891489996,1,0.22081676617432636,0
2020-04-20,0,0.13333333333333333,0,0.34453352862224756,1,0.22081676617432636,0
2020-04-21,1,0.23076923076923078,0,0.3269452874498497,1,0.22081676617432636,0
2020-04-22,0,0.7433628318584071,1,0.494207682915269,1,0.9582257910333619,1
2020-04-23,0,0.3684210526315789,1,0.22756500936184945,0,0.22081676617432636,0
2020-04-24,0,0.6395348837209304,1,0.36091188403068225,1,0.9582257910333619,1
2020-04-27,0,0.5690140845070423,1,0.3643673555536405,1,0.39400409412075355,1
2020-04-28,0,0.3684210526315789,1,0.31366362832804773,1,0.22081676617432636,0
2020-04-29,0,0.3684210526315789,1,0.29958615745462797,0,0.22081676617432636,0
2020-04-30,0,0.20245398773006135,0,0.22410738518334503,0,0.22081676617432636,0
2020-05-01,0,0.20245398773006135,0,0.3108976220564787,1,0.22081676617432636,0
2020-05-04,0,0.23076923076923078,0,0.5058067302712547,1,0.39400409412075355,1
2020-05-05,0,0.24870466321243523,0,0.6133469744661006,1,0.39400409412075355,1
2020-05-06,0,0.06435643564356436,0,0.3713397877777557,1,0.22081676617432636,0
2020-05-07,0,0.13333333333333333,0,0.6133086191321542,1,0.39400409412075355,1
2020-05-08,0,0.0,0,0.487922147272976,1,0.39400409412075355,1
2020-05-11,0,0.0,0,0.21810543674143976,0,0.14114611023829002,0
2020-05-12,0,0.0,0,0.30883992607416433,1,0.22081676617432636,0
2020-05-13,1,0.20245398773006135,0,0.5100906701577126,1,0.39400409412075355,1
2020-05-14,1,0.34615384615384615,1,0.6807124313930254,1,0.39400409412075355,1
2020-05-15,1,0.24870466321243523,0,0.6723236121148252,1,0.39400409412075355,1
2020-05-18,0,0.23076923076923078,0,0.6087101510564191,1,0.39400409412075355,1
2020-05-19,1,0.0,0,0.22245871897416022,0,0.14114611023829002,0
2020-05-20,0,0.0,0,0.36526202231398286,1,0.22081676617432636,0
2020-05-21,1,0.0,0,0.15624652096412045,0,0.14114611023829002,0
2020-05-22,1,0.0375,0,0.36083658657822293,1,0.22081676617432636,0
2020-05-26,1,0.0375,0,0.3366545434542481,1,0.22081676617432636,0
2020-05-27,1,0.0,0,0.19687717931483617,0,0.14114611023829002,0
2020-05-28,1,0.06435643564356436,0,0.17461643185458248,0,0.0311802245482905,0
2020-05-29,1,0.06435643564356436,0,0.18619641473390178,0,0.0311802245482905,0
2020-06-01,1,0.06435643564356436,0,0.18226791192869435,0,0.0311802245482905,0
2020-06-02,1,0.06435643564356436,0,0.26621925943902386,0,0.0311802245482905,0
2020-06-03,1,0.06435643564356436,0,0.17962929167235106,0,0.0311802245482905,0
2020-06-04,1,0.06666666666666667,0,0.17022576818700397,0,0.0311802245482905,0
2020-06-05,0,0.13333333333333333,0,0.24162026760777602,0,0.0311802245482905,0
2020-06-08,0,0.0,0,0.15271361033759126,0,0.0311802245482905,0
2020-06-09,0,0.06435643564356436,0,0.19083061134543264,0,0.0311802245482905,0
2020-06-10,0,0.0,0,0.25817299193719356,0,0.0311802245482905,0
2020-06-11,0,0.0,0,0.21019865362294418,0,0.22081676617432636,0
2020-06-12,0,0.46153846153846156,1,0.5629454993082474,1,0.39400409412075355,1
2020-06-15,0,0.3684210526315789,1,0.5591909166012452,1,0.39400409412075355,1
2020-06-16,0,0.24870466321243523,0,0.5581582778444018,1,0.39400409412075355,1
2020-06-17,0,0.1576923076923077,0,0.394134800614187,1,0.39400409412075355,1
2020-06-18,0,0.1576923076923077,0,0.49027379521620457,1,0.39400409412075355,1
2020-06-19,0,0.0,0,0.2843854872397294,0,0.22081676617432636,0
2020-06-22,0,0.0375,0,0.4154206818926584,1,0.22081676617432636,0
2020-06-23,0,0.0,0,0.25253525202162036,0,0.22081676617432636,0
2020-06-24,1,0.1576923076923077,0,0.35242694381435014,1,0.22081676617432636,0
2020-06-25,0,0.2857142857142857,0,0.593563005958726,1,0.39400409412075355,1
2020-06-26,1,0.1576923076923077,0,0.5900641575474523,1,0.39400409412075355,1
2020-06-29,1,0.20245398773006135,0,0.5582212282929919,1,0.39400409412075355,1
2020-06-30,0,0.20245398773006135,0,0.5559636219551242,1,0.39400409412075355,1
2020-07-01,0,0.1576923076923077,0,0.5657864334420732,1,0.39400409412075355,1
2020-07-02,0,0.0,0,0.37225964437478326,1,0.22081676617432636,0
2020-07-06,0,0.0,0,0.310490994999057,1,0.22081676617432636,0
2020-07-07,0,0.0,0,0.20153609388585192,0,0.22081676617432636,0
2020-07-08,0,0.0,0,0.248534398601026,0,0.22081676617432636,0
2020-07-09,1,0.0,0,0.17690573455229675,0,0.22081676617432636,0
2020-07-10,0,0.0,0,0.2534745940649152,0,0.22081676617432636,0
2020-07-13,1,0.0,0,0.20803254658820694,0,0.22081676617432636,0
2020-07-14,0,0.0375,0,0.48725307570631937,1,0.39400409412075355,1
2020-07-15,0,0.0,0,0.22979809904523021,0,0.22081676617432636,0
2020-07-16,0,0.0,0,0.17051741513445867,0,0.0311802245482905,0
2020-07-17,0,0.0,0,0.2432628744649537,0,0.22081676617432636,0
2020-07-20,0,0.0,0,0.26324681966891694,0,0.22081676617432636,0
2020-07-21,0,0.0,0,0.13913469728615402,0,0.0311802245482905,0
2020-07-22,0,0.0,0,0.22856110429653795,0,0.22081676617432636,0
2020-07-23,0,0.0,0,0.2511408672618218,0,0.22081676617432636,0
2020-07-24,1,0.0,0,0.31076916176427155,1,0.22081676617432636,0
2020-07-27,1,0.0,0,0.37409069420820934,1,0.39400409412075355,1
2020-07-28,1,0.0,0,0.2864276999847185,0,0.39400409412075355,1
2020-07-29,1,0.0,0,0.5084991085692061,1,0.39400409412075355,1
2020-07-30,1,0.0,0,0.4101633707630286,1,0.39400409412075355,1
2020-07-31,1,0.0,0,0.2800390687702931,0,0.22081676617432636,0
2020-08-03,1,0.0,0,0.17662923932255706,0,0.22081676617432636,0
2020-08-04,1,0.0,0,0.13209024441284983,0,0.0311802245482905,0
2020-08-05,0,0.0,0,0.10489072319602638,0,0.0311802245482905,0
2020-08-06,0,0.0,0,0.09139998513546863,0,0.0311802245482905,0
2020-08-07,0,0.0,0,0.09180211947158415,0,0.0311802245482905,0
2020-08-10,0,0.0,0,0.11202232011383158,0,0.0311802245482905,0
2020-08-11,1,0.0,0,0.10274684255005971,0,0.0311802245482905,0
2020-08-12,0,0.0,0,0.18831721501495582,0,0.22081676617432636,0
2020-08-13,1,0.0,0,0.10987396964856938,0,0.0311802245482905,0
2020-08-14,1,0.0,0,0.15804954063358911,0,0.22081676617432636,0
2020-08-17,1,0.0,0,0.18740789655246404,0,0.22081676617432636,0
2020-08-18,1,0.0,0,0.2271718242131833,0,0.42018779342722773,1
2020-08-19,1,0.0,0,0.2280396544927828,0,0.42018779342722773,1
2020-08-20,1,0.0,0,0.36312934888865017,1,0.39400409412075355,1
2020-08-21,1,0.0,0,0.31094735757959036,1,0.42018779342722773,1
2020-08-24,1,0.0,0,0.2590831364781809,0,0.22081676617432636,0
2020-08-25,1,0.0,0,0.17237040841457596,0,0.42018779342722773,1
2020-08-26,1,0.0,0,0.15124594659752585,0,0.0311802245482905,0
2020-08-27,1,0.0,0,0.11492244983574365,0,0.0311802245482905,0
2020-08-28,1,0.0,0,0.11975399799339613,0,0.0311802245482905,0
2020-08-31,1,0.0,0,0.14919964996169366,0,0.0311802245482905,0
2020-09-01,1,0.0,0,0.16795892453757919,0,0.0311802245482905,0
2020-09-02,0,0.0,0,0.15700474257071753,0,0.0311802245482905,0
2020-09-03,0,0.0,0,0.17700494331270675,0,0.0311802245482905,0
2020-09-04,0,0.0,0,0.47257670373350896,1,0.39400409412075355,1
2020-09-08,0,0.0,0,0.530432614928554,1,0.39400409412075355,1
2020-09-09,0,0.0,0,0.5179565294056684,1,0.39400409412075355,1
2020-09-10,0,0.0,0,0.49433512791132944,1,0.39400409412075355,1
2020-09-11,0,0.0375,0,0.5248708920618046,1,0.39400409412075355,1
2020-09-14,0,0.0,0,0.5104168079255519,1,0.39400409412075355,1
2020-09-15,0,0.0,0,0.5546877240430486,1,0.39400409412075355,1
2020-09-16,0,0.0,0,0.33088993061986893,1,0.22081676617432636,0
2020-09-17,0,0.0,0,0.5380440707240576,1,0.39400409412075355,1
2020-09-18,0,0.0,0,0.42085767928594137,1,0.22081676617432636,0
2020-09-21,1,0.0,0,0.5964532022475947,1,0.39400409412075355,1
2020-09-22,0,0.0,0,0.5377490173211825,1,0.39400409412075355,1
2020-09-23,1,0.0,0,0.5328953380847453,1,0.39400409412075355,1
2020-09-24,1,0.1576923076923077,0,0.6466911553789371,1,0.9582257910333619,1
2020-09-25,1,0.1576923076923077,0,0.6383402559969932,1,0.9582257910333619,1
2020-09-28,0,0.0375,0,0.6136451942929676,1,0.9582257910333619,1
2020-09-29,1,0.0,0,0.42074644709036724,1,0.22081676617432636,0
2020-09-30,1,0.0,0,0.35749011658092517,1,0.22081676617432636,0
2020-10-01,1,0.0,0,0.3829117171950101,1,0.22081676617432636,0
2020-10-02,1,0.0,0,0.24533285337661692,0,0.22081676617432636,0
2020-10-05,1,0.06435643564356436,0,0.2871900525941149,0,0.22081676617432636,0
2020-10-06,1,0.0,0,0.24158697767211204,0,0.22081676617432636,0
2020-10-07,1,0.0,0,0.2882678567600307,0,0.22081676617432636,0
2020-10-08,1,0.0,0,0.19848276269800363,0,0.22081676617432636,0
2020-10-09,0,0.0,0,0.1718139647201568,0,0.0311802245482905,0
2020-10-12,0,0.0,0,0.14578516930061172,0,0.0311802245482905,0
2020-10-13,0,0.0,0,0.15622385131186473,0,0.0311802245482905,0
2020-10-14,0,0.0,0,0.2236868750752943,0,0.0311802245482905,0
2020-10-15,0,0.0,0,0.30871552519067613,1,0.22081676617432636,0
2020-10-16,0,0.0,0,0.31994326023499486,1,0.22081676617432636,0
2020-10-19,0,0.0,0,0.33359876801549226,1,0.22081676617432636,0
2020-10-20,0,0.0,0,0.4652908162896326,1,0.39400409412075355,1
2020-10-21,0,0.0375,0,0.4546248796693395,1,0.39400409412075355,1
2020-10-22,0,0.0,0,0.4581309630607804,1,0.39400409412075355,1
2020-10-23,0,0.0,0,0.39204509595544007,1,0.39400409412075355,1
2020-10-26,0,0.0,0,0.36229932650683605,1,0.39400409412075355,1
2020-10-27,0,0.0375,0,0.4029348725438619,1,0.39400409412075355,1
2020-10-28,1,0.0,0,0.4054341820831101,1,0.39400409412075355,1
2020-10-29,1,0.06435643564356436,0,0.377592283547979,1,0.39400409412075355,1
2020-10-30,1,0.0375,0,0.37264780989193247,1,0.39400409412075355,1
2020-11-02,1,0.3684210526315789,1,0.4968727728712276,1,0.9582257910333619,1
2020-11-03,1,0.24870466321243523,0,0.44677211317726173,1,0.9582257910333619,1
2020-11-04,1,0.13333333333333333,0,0.421965707111496,1,0.9582257910333619,1
2020-11-05,1,0.0,0,0.17775299540250633,0,0.22081676617432636,0
2020-11-06,1,0.0,0,0.18530052014632717,0,0.22081676617432636,0
2020-11-09,0,0.0375,0,0.2614800487860401,0,0.22081676617432636,0
2020-11-10,0,0.0,0,0.2714962000670964,0,0.22081676617432636,0
2020-11-11,0,0.0,0,0.31246571233461934,1,0.22081676617432636,0
2020-11-12,1,0.0,0,0.18801918247584212,0,0.22081676617432636,0
2020-11-13,0,0.0,0,0.2923052307601642,0,0.22081676617432636,0
2020-11-16,0,0.0,0,0.23149590411887927,0,0.22081676617432636,0
2020-11-17,0,0.0,0,0.19993704002641083,0,0.0311802245482905,0
2020-11-18,0,0.0,0,0.251272220491182,0,0.22081676617432636,0
2020-11-19,1,0.0375,0,0.24791615819665194,0,0.39400409412075355,1
2020-11-20,1,0.0,0,0.24148683979611155,0,0.22081676617432636,0
2020-11-23,1,0.0375,0,0.36663260908732015,1,0.39400409412075355,1
2020-11-24,0,0.0375,0,0.3757535737896191,1,0.39400409412075355,1
2020-11-25,0,0.0,0,0.22927624782950606,0,0.22081676617432636,0
2020-11-27,0,0.0,0,0.23562007283226022,0,0.22081676617432636,0
2020-11-30,1,0.0,0,0.2187769387588054,0,0.22081676617432636,0
2020-12-01,0,0.0,0,0.19338540806541032,0,0.22081676617432636,0
2020-12-02,0,0.0,0,0.1769816154156817,0,0.22081676617432636,0
2020-12-03,0,0.0,0,0.15518372416865656,0,0.22081676617432636,0
2020-12-04,0,0.0,0,0.17076728703259306,0,0.22081676617432636,0
2020-12-07,0,0.0,0,0.11753240946451465,0,0.0311802245482905,0
2020-12-08,0,0.0,0,0.16285359755359674,0,0.0311802245482905,0
2020-12-09,0,0.0375,0,0.1545580460631409,0,0.22081676617432636,0
2020-12-10,0,0.13333333333333333,0,0.3076169427659561,1,0.39400409412075355,1
2020-12-11,1,0.1576923076923077,0,0.3676607688280372,1,0.8433451118963488,1
2020-12-14,1,0.1576923076923077,0,0.47007793983849344,1,0.8433451118963488,1
2020-12-15,0,0.06435643564356436,0,0.5054164692484066,1,0.9954319761668323,1
2020-12-16,0,0.06435643564356436,0,0.30922576050535666,1,0.8433451118963488,1
2020-12-17,0,0.0375,0,0.24965226833706883,0,0.22081676617432636,0
2020-12-18,0,0.0,0,0.15877117024976514,0,0.22081676617432636,0
2020-12-21,1,0.0,0,0.23461986772110305,0,0.22081676617432636,0
2020-12-22,1,0.0,0,0.1919162146851271,0,0.22081676617432636,0
2020-12-23,1,0.0,0,0.36011674174627084,1,0.8433451118963488,1
2020-12-24,1,0.0,0,0.33150822060484825,1,0.8433451118963488,1
2020-12-28,1,0.0,0,0.40718227398502005,1,0.8433451118963488,1
2020-12-29,1,0.0,0,0.1170371502666108,0,0.0311802245482905,0
2020-12-30,1,0.0,0,0.16565302305087892,0,0.22081676617432636,0
2020-12-31,0,0.0,0,0.17005211454549604,0,0.22081676617432636,0
2021-01-04,1,0.0,0,0.11258227499463556,0,0.0311802245482905,0
2021-01-05,1,0.0,0,0.48764955461980336,1,0.9954319761668323,1
2021-01-06,1,0.0,0,0.41699143761667407,1,0.8433451118963488,1
2021-01-07,0,0.0,0,0.26096692263195387,0,0.22081676617432636,0
2021-01-08,0,0.0,0,0.14524880626162776,0,0.0311802245482905,0
2021-01-11,0,0.0,0,0.16285408090824333,0,0.0311802245482905,0
2021-01-12,0,0.0375,0,0.24083144952734822,0,0.0311802245482905,0
2021-01-13,0,0.0375,0,0.2717330185243944,0,0.22081676617432636,0
2021-01-14,1,0.06435643564356436,0,0.2614507515823388,0,0.22081676617432636,0
2021-01-15,1,0.13333333333333333,0,0.3440152373252989,1,0.8433451118963488,1
2021-01-19,1,0.23076923076923078,0,0.5473953550419854,1,0.9954319761668323,1
2021-01-20,0,0.06666666666666667,0,0.3895688525226982,1,0.8433451118963488,1
2021-01-21,0,0.0,0,0.15877444800784513,0,0.0311802245482905,0
2021-01-22,0,0.0,0,0.21202072050377543,0,0.0311802245482905,0
2021-01-25,0,0.0375,0,0.2957311832971973,0,0.22081676617432636,0
2021-01-26,0,0.0,0,0.256264707874094,0,0.22081676617432636,0
2021-01-27,1,0.06435643564356436,0,0.2716214601506851,0,0.22081676617432636,0
2021-01-28,1,0.24870466321243523,0,0.5991267627703329,1,0.9954319761668323,1
2021-01-29,1,0.23076923076923078,0,0.6040889915252698,1,0.9954319761668323,1
2021-02-01,1,0.2857142857142857,0,0.6042237965324978,1,0.9954319761668323,1
2021-02-02,1,0.06435643564356436,0,0.37634054213470847,1,0.857298356373136,1
2021-02-03,1,0.06666666666666667,0,0.34828654771623274,1,0.8433451118963488,1
2021-02-04,0,0.06435643564356436,0,0.22472554163367447,0,0.22081676617432636,0
2021-02-05,0,0.0,0,0.16666102941836772,0,0.22081676617432636,0
2021-02-08,0,0.0,0,0.17156587667614157,0,0.0311802245482905,0
2021-02-09,0,0.0,0,0.17794538061957244,0,0.0311802245482905,0
2021-02-10,0,0.0,0,0.21117160326484227,0,0.0311802245482905,0
2021-02-11,0,0.0,0,0.26200367444405936,0,0.22081676617432636,0
2021-02-12,0,0.0,0,0.25705540934576204,0,0.22081676617432636,0
2021-02-16,0,0.0,0,0.21609743647328786,0,0.22081676617432636,0
2021-02-17,0,0.06435643564356436,0,0.1772718302672738,0,0.22081676617432636,0
2021-02-18,0,0.06435643564356436,0,0.19257983227945058,0,0.22081676617432636,0
2021-02-19,0,0.06666666666666667,0,0.22993270635038987,0,0.8433451118963488,1
2021-02-22,0,0.20245398773006135,0,0.25625520404759117,0,0.8433451118963488,1
2021-02-23,0,0.46153846153846156,1,0.39987803433127056,1,0.9954319761668323,1
2021-02-24,0,0.3684210526315789,1,0.3334519223692573,1,0.8433451118963488,1
2021-02-25,0,0.13333333333333333,0,0.18719587157424358,0,0.8433451118963488,1
2021-02-26,1,0.24870466321243523,0,0.39803248856319684,1,0.9954319761668323,1
2021-03-01,0,0.3684210526315789,1,0.44227762477053023,1,0.9954319761668323,1
2021-03-02,0,0.23076923076923078,0,0.23100933954812658,0,0.22081676617432636,0
2021-03-03,1,0.46153846153846156,1,0.48651592167032187,1,0.9954319761668323,1
2021-03-04,1,0.5690140845070423,1,0.6205172932586812,1,0.9954319761668323,1
2021-03-05,1,0.46153846153846156,1,0.6328111374444975,1,0.9954319761668323,1
2021-03-08,1,0.2857142857142857,0,0.4473410353773472,1,0.22081676617432636,0
2021-03-09,1,0.6395348837209304,1,0.6675902570551017,1,0.9954319761668323,1
2021-03-10,0,0.23076923076923078,0,0.47711362045953926,1,0.857298356373136,1
2021-03-11,0,0.1576923076923077,0,0.3362794649018,1,0.22081676617432636,0
2021-03-12,0,0.13333333333333333,0,0.23636394982100875,0,0.22081676617432636,0
2021-03-15,0,0.1576923076923077,0,0.31754766761248515,1,0.22081676617432636,0
2021-03-16,0,0.1576923076923077,0,0.26603428470152646,0,0.0311802245482905,0
2021-03-17,0,0.1576923076923077,0,0.35718049431092663,1,0.22081676617432636,0
2021-03-18,0,0.13333333333333333,0,0.29242366749813264,0,0.22081676617432636,0
